"File","New","⌘N","In Windows","org.eclipse.ui.newWizard"
"Utility","Advanced Paste ...","⌃⇧V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"SQL Editor","Evaluate SQL expression","⌃⌥'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Result Set","Select row(s)","⌃⌥R","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectRow"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"SQL Editor","Show server output","⌃⇧O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Connection","Open Database Object ...","⌃⇧D","In Windows","org.jkiss.dbeaver.core.object.goto"
"SQL Editor","Select to the matching bracket","⌃⇧]","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.selectToMatchingBracket"
"SQL Editor","Execute SQL script","⌥X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Window","Previous Editor","⇧⌘F6","In Windows","org.eclipse.ui.window.previousEditor"
"Text Editing","Select Next Word","⌥⇧→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Text Editing","Move Lines Down","⌥↓","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Connection","Create Object","⌘N","Database navigator context","org.jkiss.dbeaver.core.object.create"
"Result Set","Next row","⌃⌥→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Window","Close Dialog","⌘W","In Dialogs","org.eclipse.ui.cocoa.closeDialog"
"Help","Show Context Help","F1","In Windows","org.eclipse.ui.help.dynamicHelp"
"Window","Previous Perspective","⇧⌘F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Database Navigator","New Database &Connection","⌃⇧N","In Windows","org.jkiss.dbeaver.core.new.connection"
"Text Editing","To Upper Case","⇧⌘X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"SQL Editor","Next query","⌥↓","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Window","Next Perspective","⌘F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"SQL Editor","Content Format","⌃⇧F","In Windows","org.jkiss.dbeaver.ui.editors.text.content.format"
"Connection","Open SQL console","⌃⌥↩","Database navigator context","org.jkiss.dbeaver.core.sql.editor.console"
"Views","Show View (History)","⌥⌘Q Z","In Windows","org.eclipse.ui.views.showView"
"Connection","New SQL script","⌘1","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Result Set","Switch presentation","⌃`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Edit","Quick Fix","⌃1","SQL Editor Context","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Result Set","Last row","⌃⌥⇧→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"Navigate","Next Edit Location","⌃⌥→","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"SQL Editor","Previous query","⌥↑","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Text Editing","Previous Word","⌥←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Result Set","Select column(s)","⌃⌥C","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectColumn"
"Text Editing","Select Line End","⇧⌘→","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Project","Build All","⌘B","In Windows","org.eclipse.ui.project.buildAll"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Window","Next Editor","⌘F6","In Windows","org.eclipse.ui.window.nextEditor"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"View","Zoom Out","⌘-","In Windows","org.eclipse.gef.zoom_out"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Navigate","Next","⌘.","In Windows","org.eclipse.ui.navigate.next"
"Result Set","Copy from row below","⌃⌥D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
