"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Format","⇧⌘F","Editing Java Source"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Text Editing","Previous Word","⌥←","Editing Text"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Text Editing","Text End","↘","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Text Editing","Zoom In","⌘+","Editing Text"
"Navigate","Show In...","⌥⌘W","In Windows"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Edit","Select Enclosing Element","⌃⇧↑","Editing JavaScript Source"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Git","Commit...","⌥⌘3","In Windows"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Navigate","Open Declaration","F3","In Windows"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Run/Debug","Inspect","⇧⌘I","Chromium Debug"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Window","Update Project","⌥F5","In Windows"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Window","Activate Editor","⌘F12","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Spy","Plug-in Selection Spy","⌥⇧F1","In Dialogs and Windows"
"Run/Debug","Run on Server","⌥⇧X R","In Windows"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Server","Debug","⌥⌘D","In Servers View"
"Window","Next Perspective","⌘F8","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Edit","Move","⌥⇧V","Editing JSP Source"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"File","Rename","F2","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
